Symbol,ETF Name,Total Assets,YTD,Avg Volume,Previous Closing Price,1-Day Change,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETF Database Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
LTL,ProShares Ultra Communication Services,"$6,504",-14.64%,"3,541",$24.14,0.25%,8.22%,0.08%,0.19%,30.00%,15.39%,"-$8,533,925.00",$0.00,$0.00,"-$9,256,595.00","$3,241,467.00","$2,235,111.00",Leveraged Equities,2008-03-25,0.95%,N/A,$0.21,2026-06-24,$0.04,0.88%,0.00,1.68,24,79.10%,40%,20%,1099,$21.94,$25.76,N/A,N/A,50.46,B+,C+,N/A,A-,A-,B-,A-,4.35,1.19%,9.10%,10.36,1.00%,0.09%
TQQY,GraniteShares YieldBOOST QQQ ETF,"$6,299",2.69%,"18,358",$12.35,0.00%,0.68%,-1.85%,3.78%,N/A,N/A,"-$3,461,100.00",$0.00,"-$248,600.00","$5,536,400.00","$10,476,500.00","$10,476,500.00",Leveraged Equities,2025-02-26,1.15%,N/A,$6.77,2026-07-31,$0.08,54.83%,0.00,1.55,4,100.00%,40%,20%,1099,$12.12,$12.66,$12.32,$12.36,48.26,N/A,B,N/A,N/A,A-,A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HOYY,GraniteShares YieldBOOST HOOD ETF,"$6,117",-33.05%,"26,377",$5.12,-0.58%,1.98%,-5.55%,N/A,N/A,N/A,"-$1,737,300.00",$0.00,"-$206,800.00","$33,465,200.00","$33,465,200.00","$33,465,200.00",Leveraged Equities,2025-09-30,1.07%,N/A,$11.53,2026-07-31,$0.07,225.27%,0.00,-1.44,4,100.00%,40%,20%,1099,$4.96,$5.50,$5.11,$5.13,42.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IWFL,ETRACS 2x Leveraged US Growth Factor TR ETN,"$6,019",4.41%,321,$59.82,-1.14%,10.90%,-0.18%,16.43%,32.87%,13.42%,$0.00,$0.00,$0.00,"-$5,899,110.00","-$40,514,085.00","-$40,514,085.00",Leveraged Equities,2021-02-05,1.70%,N/A,$0.00,N/A,N/A,0.00%,0.00,2.34,0,0.00%,40%,20%,1099,$51.39,$62.47,$59.82,$59.82,54.43,B-,C,N/A,B+,A-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HDLB,ETRACS Monthly Pay 2xLeveraged US High Dividend Low Volatility ETN Series B,"$5,635",16.73%,"3,409",$17.55,-0.11%,-1.30%,7.15%,10.71%,16.80%,2.10%,$0.00,$0.00,$0.00,"-$1,200,600.00","-$9,934,680.00","-$9,934,680.00",Leveraged Equities,2019-10-24,1.65%,N/A,$0.00,2020-07-13,$0.09,0.00%,0.00,1.16,0,N/A,40%,20%,1099,$16.26,$18.62,N/A,N/A,53.77,B-,C,N/A,B,A-,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UXJL,FT Vest U.S. Equity Uncapped Accelerator ETF - July,"$5,622",13.53%,"1,166",$37.39,-0.40%,3.92%,2.10%,23.26%,N/A,N/A,"-$4,914,850.00",$0.00,"-$11,550.00","-$1,830,900.00","$4,242,300.00","$4,242,300.00",Leveraged Equities,2025-07-18,0.85%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.17,2,100.00%,40%,20%,1099,$35.29,$37.60,$37.39,$37.39,59.89,N/A,N/A,N/A,N/A,N/A,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
IOYY,GraniteShares YieldBOOST IONQ ETF,"$5,476",-24.13%,"39,045",$6.80,0.59%,2.09%,-5.74%,N/A,N/A,N/A,"$6,253,000.00","-$338,000.00","-$239,600.00","$14,520,100.00","$14,520,100.00","$14,520,100.00",Leveraged Equities,2025-11-04,1.07%,N/A,$11.89,2026-07-31,$0.09,174.88%,0.00,-1.43,4,100.00%,40%,20%,1099,$6.53,$7.10,$6.78,$6.81,39.56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SKYU,ProShares Ultra Nasdaq Cloud Computing ETF,"$5,337",22.04%,"3,237",$44.71,-3.81%,15.05%,11.72%,29.60%,35.82%,-0.86%,"$2,137,021.00","$863,952.00","$863,952.00","$1,048,543.00","$40,012.00","$2,526,723.28",Leveraged Equities,2021-01-19,0.95%,N/A,$0.30,2026-06-24,$0.04,0.67%,0.00,2.51,64,54.27%,40%,20%,1099,$31.76,$45.88,$43.85,$45.34,64.16,B-,C,N/A,A-,B,B-,N/A,7.18,86.17%,76.51%,17.5,5.94%,2.06%
USML,ETRACS 2x Leveraged MSCI US Minimum Volatility Factor TR ETN,"$4,602",10.15%,197,$46.20,0.06%,4.11%,4.47%,12.16%,17.22%,7.50%,$0.00,$0.00,$0.00,"-$4,272,350.00","-$36,870,060.00","-$36,870,060.00",Leveraged Equities,2021-02-05,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,1.26,0,0.00%,40%,20%,1099,$42.15,$46.25,$46.20,$46.20,65.50,C+,C,N/A,C+,A,C,N/A,0.0,N/A,N/A,N/A,N/A,N/A
UBR,ProShares Ultra MSCI Brazil Capped,"$3,871",19.54%,"2,627",$31.27,-3.40%,-3.94%,3.04%,63.82%,6.49%,-0.04%,"-$492,143.00",$0.00,$0.00,"$273,880.00","-$983,745.00","-$1,559,034.93",Leveraged Equities,2010-04-29,0.95%,N/A,$0.51,2026-06-24,$0.12,1.64%,0.00,1.22,1,100.00%,40%,20%,1099,$30.51,$33.01,$31.10,$31.57,49.02,B-,C,N/A,C+,B+,A,C+,0.0,N/A,N/A,N/A,N/A,N/A
CARU,MAX Auto Industry 3X Leveraged ETN,"$3,815",-24.99%,805,$23.37,-2.14%,-0.11%,1.57%,-16.00%,-8.94%,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2023-06-27,0.95%,N/A,$0.00,N/A,N/A,0.00%,0.00,3.46,0,N/A,40%,20%,1099,$21.30,$25.41,$23.37,$23.37,50.08,C,C,N/A,B+,C+,C+,N/A,0.0,N/A,N/A,N/A,N/A,N/A
KBAB,KraneShares 2x Long BABA Daily ETF,"$3,769",-35.87%,"22,978",$9.15,-3.17%,18.17%,27.28%,-46.83%,N/A,N/A,"$318,159.76","-$211,680.31","-$234,083.34","$6,473,036.59","$8,972,364.20","$8,972,364.20",Leveraged Equities,2025-03-11,0.99%,N/A,$0.05,2025-12-30,$0.05,0.55%,0.00,2.65,3,100.00%,40%,20%,1099,$6.62,$9.49,$9.04,$9.22,59.67,N/A,B,N/A,N/A,A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RTYY,GraniteShares YieldBoost RIOT ETF,"$3,732",-2.76%,"12,923",$9.83,0.10%,-0.11%,-3.08%,N/A,N/A,N/A,"$4,869,300.00","$588,900.00","$279,600.00","$6,434,400.00","$6,434,400.00","$6,434,400.00",Leveraged Equities,2025-12-02,1.07%,N/A,$11.59,2026-07-31,$0.18,117.89%,0.00,-1.69,4,100.00%,40%,20%,1099,$9.59,$10.06,$9.77,$9.90,44.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TLA,GraniteShares Autocallable TSLA ETF,"$2,980",N/A,"2,895",$22.91,0.00%,2.12%,-6.58%,N/A,N/A,N/A,"$2,440,800.00","$229,200.00","$718,700.00","$2,440,800.00","$2,440,800.00","$2,440,800.00",Leveraged Equities,2026-02-03,1.07%,N/A,$2.00,2026-07-01,$0.41,8.73%,0.00,-1.68,1,100.00%,40%,20%,1099,$21.54,$25.33,N/A,N/A,42.61,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MAAY,GraniteShares YieldBOOST MARA ETF,"$2,925",-20.78%,"17,475",$5.81,-0.68%,-0.85%,-0.79%,N/A,N/A,N/A,"$2,740,300.00",$0.00,"$419,300.00","$6,760,700.00","$6,760,700.00","$6,760,700.00",Leveraged Equities,2025-11-04,1.07%,N/A,$9.97,2026-07-31,$0.10,171.55%,0.00,-1.77,4,100.00%,40%,20%,1099,$5.72,$5.96,$5.79,$5.85,46.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
RGYY,GraniteShares YieldBoost RGTI ETF,"$2,907",-32.90%,"19,884",$6.76,0.00%,2.00%,-2.48%,N/A,N/A,N/A,"$4,099,200.00",$0.00,$0.00,"$4,955,400.00","$4,955,400.00","$4,955,400.00",Leveraged Equities,2025-11-25,1.07%,N/A,$9.50,2026-07-31,$0.10,140.50%,0.00,-1.63,4,100.00%,40%,20%,1099,$6.51,$6.86,$6.74,$6.79,45.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
AZYY,GraniteShares YieldBoost AMZN ETF,"$2,894",-9.36%,"2,658",$14.47,0.00%,0.50%,-3.15%,N/A,N/A,N/A,"$1,029,800.00",$0.00,"-$152,600.00","$3,501,600.00","$3,501,600.00","$3,501,600.00",Leveraged Equities,2025-09-16,1.07%,N/A,$7.59,2026-07-31,$0.09,52.46%,0.00,-0.89,4,100.00%,40%,20%,1099,$14.10,$15.23,N/A,N/A,41.32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PLA,GraniteShares Autocallable PLTR ETF,"$2,838",N/A,N/A,$25.82,0.04%,8.15%,6.87%,N/A,N/A,N/A,"$1,990,300.00",$0.00,"$490,400.00","$1,990,300.00","$1,990,300.00","$1,990,300.00",Leveraged Equities,2026-05-19,1.07%,N/A,$0.87,2026-07-01,$0.45,3.38%,0.00,2.70,2,100.00%,40%,20%,1099,$23.07,$25.95,$25.78,$25.89,60.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PLYY,GraniteShares YieldBOOST PLTR ETF,"$2,730",-29.03%,"6,942",$8.52,-0.35%,2.02%,0.93%,N/A,N/A,N/A,"-$372,900.00",$0.00,"-$177,800.00","$8,517,200.00","$8,517,200.00","$8,517,200.00",Leveraged Equities,2025-09-23,1.70%,N/A,$11.45,2026-07-31,$0.09,134.45%,0.00,-1.28,4,100.00%,40%,20%,1099,$8.20,$8.71,$8.51,$8.52,48.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
QBY,GraniteShares YieldBoost QBTS ETF,"$2,455",-35.34%,"16,603",$6.75,-1.03%,1.21%,-6.60%,N/A,N/A,N/A,"$3,226,200.00","$68,200.00","-$207,800.00","$3,876,600.00","$3,876,600.00","$3,876,600.00",Leveraged Equities,2025-11-25,1.07%,N/A,$9.16,2026-07-31,$0.11,135.64%,0.00,-1.52,4,100.00%,40%,20%,1099,$6.56,$7.10,$6.70,$6.81,39.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
YBTY,GraniteShares YieldBoost TopYielders ETF,"$1,781",-25.53%,"4,333",$11.10,-0.27%,0.15%,-4.43%,N/A,N/A,N/A,"$1,368,400.00",$0.00,"-$460,800.00","$3,914,800.00","$3,914,800.00","$3,914,800.00",Leveraged Equities,2025-12-16,1.38%,N/A,$7.48,2026-08-03,$0.11,67.36%,0.00,-0.94,9,100.00%,40%,20%,1099,$10.91,$11.51,$11.08,$11.12,37.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CRY,GraniteShares YieldBOOST CRCL ETF,"$1,566",N/A,"7,034",$17.52,0.57%,-1.47%,0.41%,N/A,N/A,N/A,"$1,170,900.00","$530,400.00","$530,400.00","$1,170,900.00","$1,170,900.00","$1,170,900.00",Leveraged Equities,2026-04-28,1.07%,N/A,$5.52,2026-07-31,$0.31,31.51%,0.00,-1.59,4,100.00%,40%,20%,1099,$17.03,$17.86,$17.36,$17.63,44.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MTYY,GraniteShares YieldBOOST MSTR ETF,"$1,563",-29.59%,"3,190",$18.36,-0.38%,0.58%,-0.60%,N/A,N/A,N/A,"$2,904,104.57",$0.00,$0.00,"$5,395,104.57","$5,395,104.57","$5,395,104.57",Leveraged Equities,2025-09-23,1.07%,N/A,$3.66,2026-07-31,$0.17,19.93%,0.00,-1.44,4,100.00%,40%,20%,1099,$18.05,$18.79,N/A,N/A,42.70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
YBST,GraniteShares YieldBoost Single Stock Universe ETF,"$1,269",-22.00%,"2,034",$12.67,-0.24%,0.60%,-2.84%,N/A,N/A,N/A,"-$651,000.00",$0.00,$0.00,"$2,079,200.00","$2,079,200.00","$2,079,200.00",Leveraged Equities,2025-12-16,1.38%,N/A,$6.85,2026-08-03,$0.11,54.10%,0.00,-0.72,22,48.70%,40%,20%,1099,$12.46,$13.00,$12.65,$12.69,39.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TMYY,GraniteShares YieldBOOST TSM ETF,"$1,162",N/A,"3,170",$23.32,0.34%,2.08%,-0.79%,N/A,N/A,N/A,"$501,100.00",$0.00,"$6,400.00","$501,100.00","$501,100.00","$501,100.00",Leveraged Equities,2026-04-14,1.07%,N/A,$5.23,2026-07-31,$0.25,22.44%,0.00,-1.72,4,100.00%,40%,20%,1099,$22.18,$23.47,$23.28,$23.35,57.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
SCA,GraniteShares Autocallable SMCI ETF,$870,N/A,N/A,$21.40,-1.56%,3.75%,4.76%,N/A,N/A,N/A,"$302,400.00",$0.00,$0.00,"$302,400.00","$302,400.00","$302,400.00",Leveraged Equities,2026-05-27,1.07%,N/A,$1.63,2026-07-01,$0.83,7.63%,0.00,-5.27,2,100.00%,40%,20%,1099,$18.18,$23.14,$21.30,$21.60,50.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BIOY,GraniteShares YieldBOOST Biotech ETF,$850,N/A,"1,861",$21.31,0.24%,-0.44%,-4.96%,N/A,N/A,N/A,"$215,400.00","$215,400.00","$215,400.00","$215,400.00","$215,400.00","$215,400.00",Leveraged Equities,2026-05-05,1.07%,N/A,$3.45,2026-07-31,$0.24,16.20%,0.00,-1.43,4,100.00%,40%,20%,1099,$20.72,$21.86,$21.28,$21.33,48.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
PUL,GraniteShares 2x Long P Daily ETF,$834,N/A,N/A,$30.11,7.96%,34.23%,11.62%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2026-07-07,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,2,100.00%,40%,20%,1099,$16.88,$29.11,$30.11,$30.11,58.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
FINY,GraniteShares YieldBOOST Financials ETF,$767,N/A,"1,153",$25.60,-0.12%,0.38%,3.55%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2026-05-05,1.07%,N/A,$1.49,2026-07-31,$0.10,5.83%,0.00,0.55,3,100.00%,40%,20%,1099,$24.91,$25.74,$25.58,$25.64,72.94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BBUL,GraniteShares 2x Long BB Daily ETF,$693,N/A,N/A,$13.98,0.65%,7.06%,-44.59%,N/A,N/A,N/A,"$704,700.00",$0.00,"$704,700.00","$704,700.00","$704,700.00","$704,700.00",Leveraged Equities,2026-07-07,1.50%,N/A,$0.00,N/A,N/A,0.00%,0.00,0.00,2,100.00%,40%,20%,1099,$8.13,$23.07,$13.12,$14.71,28.26,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
BBYY,GraniteShares YieldBOOST BABA ETF,$691,-20.19%,"3,048",$9.85,-0.10%,0.83%,4.97%,N/A,N/A,N/A,"$99,200.00",$0.00,$0.00,"$1,013,700.00","$1,013,700.00","$1,013,700.00",Leveraged Equities,2025-10-21,1.07%,N/A,$10.20,2026-07-31,$0.09,103.58%,0.00,-1.12,4,100.00%,40%,20%,1099,$9.31,$9.94,$9.82,$9.86,55.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
HMYY,GraniteShares YieldBoost HIMS ETF,$684,-43.54%,"4,352",$6.18,-0.64%,1.27%,-4.05%,N/A,N/A,N/A,"$722,700.00",$0.00,$0.00,"$1,313,700.00","$1,313,700.00","$1,313,700.00",Leveraged Equities,2025-12-02,1.07%,N/A,$7.63,2026-07-31,$0.10,123.43%,0.00,-1.50,4,100.00%,40%,20%,1099,$6.03,$6.51,$6.17,$6.21,45.45,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
TECY,GraniteShares YieldBOOST Technology ETF,$671,N/A,"1,353",$22.41,0.09%,2.22%,1.50%,N/A,N/A,N/A,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,Leveraged Equities,2026-05-05,1.07%,N/A,$2.91,2026-07-31,$0.20,13.01%,0.00,-1.41,3,100.00%,40%,20%,1099,$21.31,$22.57,$22.37,$22.44,56.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MRA,GraniteShares Autocallable MARA ETF,$646,N/A,N/A,$20.93,-2.10%,-6.23%,-8.67%,N/A,N/A,N/A,"$18,000.00","-$215,200.00","$9,700.00","$18,000.00","$18,000.00","$18,000.00",Leveraged Equities,2026-05-27,1.07%,N/A,$1.72,2026-07-01,$0.87,8.22%,0.00,-4.17,2,100.00%,40%,20%,1099,$20.34,$23.30,$20.93,$20.93,44.25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
ONG,Leverage Shares 2X Long ON Daily ETF,$623,N/A,N/A,$4.96,3.77%,-13.13%,-38.54%,N/A,N/A,N/A,"$1,450,891.50","-$223,402.50","-$871,111.50","$1,450,891.50","$1,450,891.50","$1,450,891.50",Leveraged Equities,2026-06-02,0.75%,N/A,$0.00,2023-03-21,$0.14,0.00%,0.00,-16.84,6,100.00%,40%,20%,1099,$4.66,$7.81,$4.68,$5.22,35.67,C,C,B+,C+,C,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
MSR,GraniteShares Autocallable MSTR ETF,$565,N/A,N/A,$14.10,0.00%,-2.11%,4.35%,N/A,N/A,N/A,"$132,700.00",$0.00,$0.00,"$132,700.00","$132,700.00","$132,700.00",Leveraged Equities,2026-05-12,1.07%,N/A,$0.72,2026-06-03,$0.72,5.09%,0.00,-6.16,1,100.00%,40%,20%,1099,$13.21,$14.80,N/A,N/A,42.95,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
CWY,GraniteShares YieldBOOST CRWV ETF,$509,N/A,"1,883",$16.90,-0.53%,1.54%,-6.15%,N/A,N/A,N/A,"$8,700.00",$0.00,"$8,700.00","$8,700.00","$8,700.00","$8,700.00",Leveraged Equities,2026-04-14,1.07%,N/A,$5.55,2026-07-31,$0.25,32.83%,0.00,-1.62,4,100.00%,40%,20%,1099,$16.16,$17.83,$16.85,$16.96,40.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
KBDU,KraneShares 2x Long BIDU Daily ETF,$449,-43.46%,"1,352",$17.38,-3.34%,3.23%,-14.84%,N/A,N/A,N/A,"-$883,500.00",$0.00,$0.00,"$229,750.00","$229,750.00","$229,750.00",Leveraged Equities,2025-11-19,1.25%,N/A,$0.00,N/A,N/A,0.00%,0.00,-6.17,3,100.00%,40%,20%,1099,$15.39,$19.83,$17.32,$17.41,44.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
XCOM,Corgi All Commodities 2x Daily ETF,$430,N/A,N/A,$22.13,2.74%,-3.43%,7.81%,N/A,N/A,N/A,"$288,124.00",$0.00,$0.00,"$288,124.00","$288,124.00","$288,124.00",Leveraged Equities,2026-06-03,0.45%,N/A,$0.00,2020-03-25,$0.02,0.00%,0.00,3.58,2,100.00%,40%,20%,1099,$20.53,$24.52,$22.13,$22.13,45.52,B+,C,A-,A+,A-,B-,N/A,5.03,11.46%,17.00%,1.23,0.00%,0.00%
FBYY,GraniteShares YieldBOOST META ETF,$221,-29.49%,"1,059",$11.05,0.09%,2.13%,-5.27%,N/A,N/A,N/A,"-$118,600.00",$0.00,$0.00,"-$127,700.00","-$127,700.00","-$127,700.00",Leveraged Equities,2025-10-21,1.07%,N/A,$5.75,2026-07-31,$0.06,52.00%,0.00,-1.15,3,100.00%,40%,20%,1099,$10.72,$11.95,$11.05,$11.05,35.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A
